"PC-1"	"PC-2"	"Batch"	"Group"
"GSM615865"	-47.215313974982	-17.8015011694049	"GSE25070"	"Tumor"
"GSM615866"	-12.0589923470836	-14.8329934072335	"GSE25070"	"Tumor"
"GSM615867"	-20.2717955256937	7.53653486684381	"GSE25070"	"Tumor"
"GSM615868"	-29.4185151800671	5.294310843969	"GSE25070"	"Tumor"
"GSM615869"	-37.9249658589915	-12.5049578083409	"GSE25070"	"Tumor"
"GSM615870"	-31.1174998500313	-16.7324341751609	"GSE25070"	"Tumor"
"GSM615871"	-33.6377973413989	11.5256719677161	"GSE25070"	"Tumor"
"GSM615872"	-22.0386337059078	-34.5349292720771	"GSE25070"	"Tumor"
"GSM615873"	-36.1927203518995	-13.2231316852804	"GSE25070"	"Tumor"
"GSM615874"	-46.8400947488824	-31.2590344567035	"GSE25070"	"Tumor"
"GSM615875"	-41.6999831163236	6.0597721507976	"GSE25070"	"Tumor"
"GSM615876"	-35.6227443369457	21.6809770497778	"GSE25070"	"Tumor"
"GSM615877"	-27.2086209700236	-29.335693062461	"GSE25070"	"Tumor"
"GSM615878"	-21.9268817452912	5.84746845610185	"GSE25070"	"Tumor"
"GSM615879"	-31.9631325646266	-15.9578428541364	"GSE25070"	"Tumor"
"GSM615880"	7.28707192369093	94.5117233161124	"GSE25070"	"Tumor"
"GSM615881"	-42.5150531497148	4.43244687874337	"GSE25070"	"Tumor"
"GSM615882"	-7.03163035611022	78.8749460362314	"GSE25070"	"Tumor"
"GSM615883"	-25.2762944642359	8.71653307984482	"GSE25070"	"Tumor"
"GSM615884"	-6.84054207871947	-4.20772813006784	"GSE25070"	"Tumor"
"GSM615885"	-20.9285867134525	-19.6089445063304	"GSE25070"	"Tumor"
"GSM615886"	-21.2312980940654	18.5813871187218	"GSE25070"	"Tumor"
"GSM615887"	-35.9601677481307	-40.8838149231952	"GSE25070"	"Tumor"
"GSM615888"	-14.4616215606661	-18.3832627680642	"GSE25070"	"Tumor"
"GSM615889"	-34.826592089897	-12.5411655860096	"GSE25070"	"Tumor"
"GSM615890"	-37.5538626332998	2.20211722541263	"GSE25070"	"Tumor"
"GSM615891"	29.4379708147374	-7.08760012592259	"GSE25070"	"Normal"
"GSM615892"	28.9707204337049	-15.2893717794532	"GSE25070"	"Normal"
"GSM615893"	29.2357077938067	16.9857044125364	"GSE25070"	"Normal"
"GSM615894"	17.9187939771751	54.8970372195291	"GSE25070"	"Normal"
"GSM615895"	1.93984126255006	89.6979740423774	"GSE25070"	"Normal"
"GSM615896"	33.1047731701224	-10.7469159293078	"GSE25070"	"Normal"
"GSM615897"	32.8352084754115	-1.0675281037267	"GSE25070"	"Normal"
"GSM615898"	29.6350160972494	1.01974573562366	"GSE25070"	"Normal"
"GSM615899"	27.175503918829	-19.8813088276504	"GSE25070"	"Normal"
"GSM615900"	22.5937928942316	15.8768649011535	"GSE25070"	"Normal"
