"PC-1"	"PC-2"	"Batch"	"Group"
"GSM615865"	-59.9933703464943	-26.6545826163048	"GSE25070"	"Tumor"
"GSM615866"	-59.5123012751416	-28.1800216557834	"GSE25070"	"Tumor"
"GSM615867"	-58.9875215493093	-29.6797559923351	"GSE25070"	"Tumor"
"GSM615868"	-59.5421968066305	-28.3501171705067	"GSE25070"	"Tumor"
"GSM615869"	-59.1197495693152	-28.7933311609432	"GSE25070"	"Tumor"
"GSM615870"	-59.8808823269383	-26.7322966247525	"GSE25070"	"Tumor"
"GSM615871"	-59.1681950084873	-28.559994979039	"GSE25070"	"Tumor"
"GSM615872"	-60.2654397819504	-25.5074737504358	"GSE25070"	"Tumor"
"GSM615873"	-58.5803943327986	-27.5150556884384	"GSE25070"	"Tumor"
"GSM615874"	-59.1711011968158	-26.7802441844872	"GSE25070"	"Tumor"
"GSM615875"	-59.5438785528146	-28.9895525744651	"GSE25070"	"Tumor"
"GSM615876"	-58.8482122033178	-30.4429302205664	"GSE25070"	"Tumor"
"GSM615877"	-58.9469525838216	-25.8301248460333	"GSE25070"	"Tumor"
"GSM615878"	-59.1199196519777	-29.1619412269792	"GSE25070"	"Tumor"
"GSM615879"	-59.2443863069787	-27.4545133580873	"GSE25070"	"Tumor"
"GSM615880"	-55.442602891309	-33.6523731390526	"GSE25070"	"Tumor"
"GSM615881"	-59.1044989839819	-28.7045090996878	"GSE25070"	"Tumor"
"GSM615882"	-56.3539734493261	-31.7121848736258	"GSE25070"	"Tumor"
"GSM615883"	-58.8285024208191	-28.7437921685062	"GSE25070"	"Tumor"
"GSM615884"	-58.4720156062479	-27.5288616227009	"GSE25070"	"Tumor"
"GSM615885"	-58.6718922876067	-26.0655947058923	"GSE25070"	"Tumor"
"GSM615886"	-58.4748919440173	-29.5800084922488	"GSE25070"	"Tumor"
"GSM615887"	-60.2636905604336	-23.8124198090718	"GSE25070"	"Tumor"
"GSM615888"	-58.7618999644184	-25.8780565084971	"GSE25070"	"Tumor"
"GSM615889"	-59.1137970535813	-26.6217587475218	"GSE25070"	"Tumor"
"GSM615890"	-59.3452417812647	-28.160298911425	"GSE25070"	"Tumor"
"GSM615891"	-57.7609015688259	-27.0930547889289	"GSE25070"	"Normal"
"GSM615892"	-57.993770603683	-27.8597087799703	"GSE25070"	"Normal"
"GSM615893"	-57.5747345842092	-29.6602540294471	"GSE25070"	"Normal"
"GSM615894"	-57.2873656165334	-29.7764613251088	"GSE25070"	"Normal"
"GSM615895"	-56.6149678376635	-30.8143094204489	"GSE25070"	"Normal"
"GSM615896"	-57.0222584445016	-28.1056187197901	"GSE25070"	"Normal"
"GSM615897"	-58.2166223476557	-27.5076471817782	"GSE25070"	"Normal"
"GSM615898"	-58.4774957653594	-27.9252381956702	"GSE25070"	"Normal"
"GSM615899"	-58.3506681703109	-27.2807430702925	"GSE25070"	"Normal"
"GSM615900"	-57.3753566753897	-29.9127800569677	"GSE25070"	"Normal"
"GSM615901"	-58.0388729144314	-28.659397088204	"GSE25070"	"Normal"
"GSM615902"	-58.5303694145402	-27.2149908225002	"GSE25070"	"Normal"
"GSM615903"	-57.9140376008275	-26.9228732349163	"GSE25070"	"Normal"
"GSM615904"	-57.8176072549285	-26.8455185598936	"GSE25070"	"Normal"
"GSM615905"	-57.4204825735097	-27.0602640040608	"GSE25070"	"Normal"
"GSM615906"	-57.5690181957823	-27.2997449442829	"GSE25070"	"Normal"
"GSM615907"	-57.9059070806537	-26.8256135652754	"GSE25070"	"Normal"
"GSM615908"	-58.1943263636792	-27.822457485863	"GSE25070"	"Normal"
"GSM615909"	-57.8447035256213	-25.7384878687672	"GSE25070"	"Normal"
"GSM615910"	-57.6164975124125	-27.0097388317805	"GSE25070"	"Normal"
"GSM615911"	-57.0058203023346	-27.8746076511754	"GSE25070"	"Normal"
"GSM615912"	-57.4521134540438	-28.4176012238379	"GSE25070"	"Normal"
"GSM615913"	-58.0017742325842	-27.6248165840216	"GSE25070"	"Normal"
"GSM615914"	-58.6264447519777	-25.5986081074106	"GSE25070"	"Normal"
"GSM615915"	-58.1871787165355	-26.1874124460919	"GSE25070"	"Normal"
"GSM615916"	-57.2588488855448	-28.7516084442013	"GSE25070"	"Normal"
"GSM615917"	-208.466403775848	48.1940688364414	"GSE25071"	"Tumor"
"GSM615918"	-207.307535102764	48.4964011520613	"GSE25071"	"Tumor"
"GSM615919"	-206.064488463678	46.0091925874417	"GSE25071"	"Tumor"
"GSM615920"	-201.916082674391	52.3939191391942	"GSE25071"	"Tumor"
"GSM615921"	-215.183134151542	50.3591955801677	"GSE25071"	"Tumor"
"GSM615922"	-216.778576420155	50.4551121250284	"GSE25071"	"Tumor"
"GSM615923"	-206.198465645911	52.6933212549681	"GSE25071"	"Tumor"
"GSM615924"	-211.509323952966	49.2898961850893	"GSE25071"	"Tumor"
"GSM615925"	-210.621003980078	50.3517994397301	"GSE25071"	"Tumor"
"GSM615926"	-207.257313026264	53.4373138154869	"GSE25071"	"Tumor"
"GSM615927"	-213.788857253298	51.5183650615486	"GSE25071"	"Tumor"
"GSM615928"	-210.503656536359	50.1582444093551	"GSE25071"	"Tumor"
"GSM615929"	-212.400359137067	49.081066951909	"GSE25071"	"Tumor"
"GSM615930"	-208.247975416589	53.3138819830868	"GSE25071"	"Tumor"
"GSM615931"	-212.835700464346	53.1980420219231	"GSE25071"	"Tumor"
"GSM615932"	-209.461589174774	51.1921282060165	"GSE25071"	"Tumor"
"GSM615933"	-214.709689686425	50.8584807991151	"GSE25071"	"Tumor"
"GSM615934"	-211.911161650906	52.3898729912092	"GSE25071"	"Tumor"
"GSM615935"	-219.830066446817	50.6075416258231	"GSE25071"	"Tumor"
"GSM615936"	-213.408170899296	51.6417453614125	"GSE25071"	"Tumor"
"GSM615937"	-208.514828688625	52.7058545968481	"GSE25071"	"Tumor"
"GSM615938"	-209.974721158815	49.821987056587	"GSE25071"	"Tumor"
"GSM615939"	-212.647609295312	49.4291834251373	"GSE25071"	"Tumor"
"GSM615940"	-219.737007132718	50.4702039937228	"GSE25071"	"Tumor"
"GSM615941"	-212.675740341761	51.0801544233506	"GSE25071"	"Tumor"
"GSM615942"	-213.512021717092	51.3874371632877	"GSE25071"	"Tumor"
"GSM615943"	-210.260560941956	52.3845189471762	"GSE25071"	"Tumor"
"GSM615944"	-210.187772491	55.1137946099929	"GSE25071"	"Tumor"
"GSM615945"	-214.630211754144	53.6183318068021	"GSE25071"	"Tumor"
"GSM615946"	-213.935814225293	49.3890294275901	"GSE25071"	"Tumor"
"GSM615947"	-212.451234799316	49.5422973210091	"GSE25071"	"Tumor"
"GSM615948"	-211.354564017822	51.755745762515	"GSE25071"	"Tumor"
"GSM615949"	-215.400618851622	51.7466385735781	"GSE25071"	"Tumor"
"GSM615950"	-208.33132594395	52.1224191148078	"GSE25071"	"Tumor"
"GSM615951"	-215.765767855185	50.9017510371342	"GSE25071"	"Tumor"
"GSM615952"	-215.948191546849	51.8077249278282	"GSE25071"	"Tumor"
"GSM615953"	-215.727925922024	51.0184387013351	"GSE25071"	"Tumor"
"GSM615954"	-205.988194810882	50.8551330588118	"GSE25071"	"Tumor"
"GSM615955"	-213.909749121599	49.1029623161152	"GSE25071"	"Tumor"
"GSM615956"	-214.324875069629	49.4667150361507	"GSE25071"	"Tumor"
"GSM615957"	-216.919262211608	49.4408365924095	"GSE25071"	"Tumor"
"GSM615958"	-207.106504961353	50.7197214631438	"GSE25071"	"Normal"
"GSM615959"	-201.670363394834	47.5848080383037	"GSE25071"	"Normal"
