Gene.symbol	logFC	P.Value	adj.P.Val
GUCA2A	-4.637060879025441	3.0622351177193056e-138	8.318051324764874e-135
AQP8	-5.121466871124688	4.2570692068518983e-135	6.938171393327224e-132
SLC4A4	-3.6976545465441504	2.5021410667276134e-126	2.9128496503947602e-123
CA1	-4.830928870101202	9.412954349834359e-125	9.588270624600024e-122
GLTP	-1.158366219819431	2.909629333040092e-122	1.975880786245309e-119
NR3C2	-2.0937073770061527	1.1860468111430897e-121	7.434688818465414e-119
HPGD	-2.732328313369017	1.9339850796160257e-121	1.125717458127928e-118
CLCA4	-5.388957759413672	2.9355645624498226e-118	1.4071715070237414e-115
TSPAN7	-2.1977170215964854	7.166744357404864e-117	3.244544431582902e-114
DHRS11	-1.9607503374086157	3.183448215865644e-116	1.3153320767415566e-113
HIGD1A	-1.5979843284833368	6.658947762409497e-115	2.5839888245654755e-112
KLF4	-2.209632961500061	2.2350636548996882e-114	8.278878965353437e-112
EDN3	-2.4953378342345838	1.26342715117491e-113	4.289861606218476e-111
METTL7A	-1.783378290534114	2.2260017968052186e-113	7.25587545686629e-111
CA4	-4.351745645039252	2.7290525434146276e-113	8.553480452417614e-111
RDH5	-1.4609141679005875	2.7747329476610647e-112	8.374555107588896e-110
CHGA	-3.4765723944072864	4.748282297539527e-112	1.3819197300946286e-109
PLCL2	-1.5259293992630827	6.6022774967410215e-111	1.855239976584227e-108
ETFDH	-1.3086083472416332	8.197223358880562e-111	2.22663910505059e-108
SMPDL3A	-1.941238166559538	1.403845263848485e-110	3.6903016306778404e-108
MIR22HG	-1.3040269434851233	2.4816252768576015e-109	6.128110418518968e-107
MS4A12	-4.736803575401352	4.1951388464329377e-109	1.0054760723406474e-106
NAAA	-1.6495647333594672	1.291094220391128e-108	3.0060362291335147e-106
CHP2	-3.3465098066443897	2.7089366554673153e-107	5.518781201350788e-105
HSD17B2	-3.219381940993279	3.151009996834558e-107	6.262824503464588e-105
ADH1B	-3.2095350197135266	5.4463560727885955e-106	9.648338181990057e-104
PDCD4	-1.4697988580297103	6.615271813792533e-106	1.1469755321403264e-103
GRAMD2B	-1.2020703938946173	1.1391382838441941e-105	1.9339245573013206e-103
PLPP1	-1.2324471727623472	2.403751500317804e-105	3.9176341952179566e-103
ADH1A	-3.436841492310945	9.21344672043418e-105	1.439328044253115e-102
RETSAT	-1.379474618816781	9.361196017353674e-105	1.439328044253115e-102
PYY	-2.9520132537301063	1.2199956463530874e-104	1.841063800394687e-102
SLC26A2	-3.0998468056016613	1.7284869245543372e-104	2.5152571336059453e-102
ACADS	-1.5702016283312874	3.142995262458003e-104	4.493380419959696e-102
CCDC68	-1.7195791689206334	7.038568809093601e-104	9.559549537550626e-102
CPEB3	-1.0195145230565537	2.369377664179149e-103	3.165255505802605e-101
C1orf115	-1.7569618635008206	2.588231742602877e-103	3.401854914592072e-101
CA2	-3.776841654581876	2.8030580167570165e-103	3.569081215398895e-101
AHCYL2	-2.1144673500027436	4.19629982012293e-103	5.1811586718457206e-101
MMP28	-1.3409021983187657	4.390996082313848e-102	5.185830010837035e-100
HHLA2	-2.1318782874767734	7.458836103081917e-102	8.683150772002077e-100
STMN2	-2.023324103749582	1.625380066737781e-101	1.865524248429039e-99
EPB41L3	-1.9695753045816353	5.0574809391009474e-101	5.569380023342382e-99
CITED2	-1.3264636457271015	1.1179712287550888e-100	1.1831620185876907e-98
PRDX6	-1.2105929863149996	3.841312985279907e-100	3.9128574396307454e-98
APPL2	-1.4776145493296058	5.122183750169043e-100	5.153169800015745e-98
FUCA1	-1.4148888022204442	5.788238506108459e-100	5.7522384861314434e-98
CEACAM7	-3.719775928380721	8.859589452463114e-100	8.594856481919276e-98
SLC25A23	-1.2041284265860437	1.2307062342020936e-99	1.1661657095945187e-97
PDE9A	-2.0059445191629166	2.4705757881548364e-99	2.2621036064801978e-97
CFD	-2.5263448666283725	2.5025449252794066e-99	2.265915399566876e-97
LRRC19	-2.261943395667931	5.9370973636365176e-99	5.202301765190751e-97
BEST2	-2.6357993044000123	2.4925556846197625e-97	2.0110728984125193e-95
CPT2	-1.0761269780032219	4.397884234884114e-97	3.479452294181616e-95
HSD11B2	-2.102586517430444	1.5995432808028705e-96	1.2533344418521722e-94
ENTPD5	-1.8345657447838537	3.174833502780023e-96	2.440728133410793e-94
ADTRP	-2.775914450857379	2.9052071786884598e-95	2.0950914424010847e-93
DHRS9	-2.7405755542862016	3.554461066589054e-95	2.540816072950368e-93
