Gene.symbol	logFC	P.Value	adj.P.Val
CDH3	2.736566534452656	3.53259747919305e-154	2.8787136857944164e-150
ETV4	2.084205309358686	2.293312994350821e-139	9.34410379548242e-136
GUCA2A	-4.637060879025441	3.0622351177193056e-138	8.318051324764874e-135
TRIB3	2.318895231833432	2.5175574485870996e-137	5.128893912134069e-134
AQP8	-5.121466871124688	4.2570692068518983e-135	6.938171393327224e-132
TGFBI	2.317531805944096	9.980281751060861e-130	1.3554885998232493e-126
SLC4A4	-3.6976545465441504	2.5021410667276134e-126	2.9128496503947602e-123
CA1	-4.830928870101202	9.412954349834359e-125	9.588270624600024e-122
CSE1L	1.3779185425982732	4.51478286510204e-123	4.087885063079614e-120
S100A11	1.4092253414552331	5.920150232563065e-123	4.8243304245156415e-120
TEAD4	1.566236028552968	1.0357367070735062e-122	7.672925841765456e-120
GLTP	-1.158366219819431	2.909629333040092e-122	1.975880786245309e-119
NR3C2	-2.0937073770061527	1.1860468111430897e-121	7.434688818465414e-119
HPGD	-2.732328313369017	1.9339850796160257e-121	1.125717458127928e-118
BYSL	1.1658333376885501	2.710319172254389e-121	1.472426062313401e-118
MMP7	3.934652338471988	1.702454199830288e-120	8.670812046510635e-118
CLCA4	-5.388957759413672	2.9355645624498226e-118	1.4071715070237414e-115
TSPAN7	-2.1977170215964854	7.166744357404864e-117	3.244544431582902e-114
DHRS11	-1.9607503374086157	3.183448215865644e-116	1.3153320767415566e-113
DKC1	1.3308612540285836	3.2282048760376896e-116	1.3153320767415566e-113
HIGD1A	-1.5979843284833368	6.658947762409497e-115	2.5839888245654755e-112
KLF4	-2.209632961500061	2.2350636548996882e-114	8.278878965353437e-112
HILPDA	1.6453728188494088	3.748310639028008e-114	1.3280427564104017e-111
EDN3	-2.4953378342345838	1.26342715117491e-113	4.289861606218476e-111
METTL7A	-1.783378290534114	2.2260017968052186e-113	7.25587545686629e-111
CA4	-4.351745645039252	2.7290525434146276e-113	8.553480452417614e-111
RDH5	-1.4609141679005875	2.7747329476610647e-112	8.374555107588896e-110
CHGA	-3.4765723944072864	4.748282297539527e-112	1.3819197300946286e-109
PLCL2	-1.5259293992630827	6.6022774967410215e-111	1.855239976584227e-108
ETFDH	-1.3086083472416332	8.197223358880562e-111	2.22663910505059e-108
SMPDL3A	-1.941238166559538	1.403845263848485e-110	3.6903016306778404e-108
MRGBP	1.2572137475204412	2.0270945813151476e-109	5.162123044730356e-107
MIR22HG	-1.3040269434851233	2.4816252768576015e-109	6.128110418518968e-107
MS4A12	-4.736803575401352	4.1951388464329377e-109	1.0054760723406474e-106
NAAA	-1.6495647333594672	1.291094220391128e-108	3.0060362291335147e-106
LRP8	1.5478541332632068	1.5251365244129711e-108	3.4523159826225836e-106
RIPK2	1.1625753758880712	1.9356484668725814e-108	4.263134961228288e-106
ESM1	1.6679120170596278	1.5506996751566856e-107	3.325434645487324e-105
TNFRSF12A	1.7171986558508134	2.001641369656993e-107	4.182403979829445e-105
CHP2	-3.3465098066443897	2.7089366554673153e-107	5.518781201350788e-105
HSD17B2	-3.219381940993279	3.151009996834558e-107	6.262824503464588e-105
SNTB1	1.3995006678315205	3.822129938672783e-107	7.415842111962979e-105
CDK4	1.1869572296976312	5.594584498582221e-107	1.060238815789454e-104
RUVBL1	1.0375059318650228	6.959833886766282e-107	1.2889928714376917e-104
NKRF	1.038655343523267	2.2605388326857817e-106	4.093584655012541e-104
ADH1B	-3.2095350197135266	5.4463560727885955e-106	9.648338181990057e-104
PDCD4	-1.4697988580297103	6.615271813792533e-106	1.1469755321403264e-103
GRAMD2B	-1.2020703938946173	1.1391382838441941e-105	1.9339245573013206e-103
TRIP13	1.51730966945368	1.721115051366038e-105	2.862319704812621e-103
PLPP1	-1.2324471727623472	2.403751500317804e-105	3.9176341952179566e-103
MIF	1.0555244733422597	6.424820219109431e-105	1.026585489520054e-102
ADH1A	-3.436841492310945	9.21344672043418e-105	1.439328044253115e-102
RETSAT	-1.379474618816781	9.361196017353674e-105	1.439328044253115e-102
PYY	-2.9520132537301063	1.2199956463530874e-104	1.841063800394687e-102
TOMM34	1.3080211738102214	1.3084637989069315e-104	1.9386675449622882e-102
SLC26A2	-3.0998468056016613	1.7284869245543372e-104	2.5152571336059453e-102
ACADS	-1.5702016283312874	3.142995262458003e-104	4.493380419959696e-102
TPX2	1.6816012102135645	4.835929921652016e-104	6.71820786979196e-102
FXYD5	1.5336015490053487	4.8640847259507376e-104	6.71820786979196e-102
CCDC68	-1.7195791689206334	7.038568809093601e-104	9.559549537550626e-102
CPEB3	-1.0195145230565537	2.369377664179149e-103	3.165255505802605e-101
C1orf115	-1.7569618635008206	2.588231742602877e-103	3.401854914592072e-101
RNASEH2A	1.2104602818575954	2.6699323068140106e-103	3.45353624892498e-101
CA2	-3.776841654581876	2.8030580167570165e-103	3.569081215398895e-101
PRPF4	0.7443792511123934	2.896895792220295e-103	3.631815970892798e-101
AHCYL2	-2.1144673500027436	4.19629982012293e-103	5.1811586718457206e-101
AHCY	1.23361693344029	6.788077168363201e-103	8.256125499252497e-101
GARS1	1.0219743945479038	1.0696971184975275e-102	1.2819061497994635e-100
MMP28	-1.3409021983187657	4.390996082313848e-102	5.185830010837035e-100
HHLA2	-2.1318782874767734	7.458836103081917e-102	8.683150772002077e-100
STMN2	-2.023324103749582	1.625380066737781e-101	1.865524248429039e-99
UBE2C	1.883384468841756	3.007410185282142e-101	3.403803555536691e-99
BOP1	1.170183594468595	3.713711613176365e-101	4.145621361064959e-99
EPB41L3	-1.9695753045816353	5.0574809391009474e-101	5.569380023342382e-99
PUS7	1.2405692069790746	5.19010463716968e-101	5.639221691772763e-99
TIMP1	2.014060295877549	8.774023657796467e-101	9.407831419392554e-99
