"PC-1"	"PC-2"	"Batch"	"Group"
"GSM277495"	-35.131534623002	9.51143817394599	"GSE10950"	"Normal"
"GSM277496"	18.6141075999633	-3.03781446747437	"GSE10950"	"Tumor"
"GSM277497"	-22.9007717698727	7.3547263997788	"GSE10950"	"Normal"
"GSM277498"	37.6406936913373	24.5423492728963	"GSE10950"	"Tumor"
"GSM277499"	-43.0783001300876	-24.3624521334415	"GSE10950"	"Normal"
"GSM277500"	5.41968326515942	-26.538534426361	"GSE10950"	"Tumor"
"GSM277501"	-21.0284273362175	-22.8534094891364	"GSE10950"	"Normal"
"GSM277502"	-10.4498041644505	-77.0605167820426	"GSE10950"	"Tumor"
"GSM277503"	-24.4851093293894	-34.0540139620608	"GSE10950"	"Normal"
"GSM277504"	30.088850254434	4.1648330429212	"GSE10950"	"Tumor"
"GSM277505"	-41.2423759648946	9.06322838286907	"GSE10950"	"Normal"
"GSM277506"	31.0980976764851	2.510771610015	"GSE10950"	"Tumor"
"GSM277507"	-44.8599040578431	-10.2511947605283	"GSE10950"	"Normal"
"GSM277508"	30.5171952801965	-4.75317384540783	"GSE10950"	"Tumor"
"GSM277509"	-31.2263070536809	20.6708170934449	"GSE10950"	"Normal"
"GSM277510"	33.5717883968339	3.0562353709245	"GSE10950"	"Tumor"
"GSM277511"	-31.1286668201076	-42.8684195061252	"GSE10950"	"Normal"
"GSM277512"	43.8172873245475	2.94075687576524	"GSE10950"	"Tumor"
"GSM277513"	-32.3013192677026	0.378412077387266	"GSE10950"	"Normal"
"GSM277514"	19.2753366142664	-14.8860207262642	"GSE10950"	"Tumor"
"GSM277515"	-35.6627586547602	3.84007890708438	"GSE10950"	"Normal"
"GSM277516"	29.1526639394618	-3.88567794403145	"GSE10950"	"Tumor"
"GSM277517"	-2.25953958265099	-36.1420307807485	"GSE10950"	"Normal"
"GSM277518"	28.1331946355803	1.03263759170459	"GSE10950"	"Tumor"
