"PC-1"	"PC-2"	"Batch"	"Group"
"GSM277495"	-158.312591626999	-21.3540984028728	"GSE10950"	"Normal"
"GSM277496"	-168.429644827772	-20.4167433799794	"GSE10950"	"Tumor"
"GSM277497"	-194.185177471241	-28.7338108739867	"GSE10950"	"Normal"
"GSM277498"	-192.845742885151	-18.7773808698892	"GSE10950"	"Tumor"
"GSM277499"	-132.352141501606	-21.9018194508948	"GSE10950"	"Normal"
"GSM277500"	-143.545645064638	-27.4558075643934	"GSE10950"	"Tumor"
"GSM277501"	-175.220210959739	-28.4003792073574	"GSE10950"	"Normal"
"GSM277502"	-103.861784231992	-8.05159163786164	"GSE10950"	"Tumor"
"GSM277503"	-168.763358887502	-27.2463412788071	"GSE10950"	"Normal"
"GSM277504"	-193.189445588572	-23.6794785336745	"GSE10950"	"Tumor"
"GSM277505"	-173.615856703739	-29.0168660857347	"GSE10950"	"Normal"
"GSM277506"	-177.845028728632	-23.2792238163706	"GSE10950"	"Tumor"
"GSM277507"	-140.706889893922	-26.5918577940254	"GSE10950"	"Normal"
"GSM277508"	-172.001786573833	-22.8970970859328	"GSE10950"	"Tumor"
"GSM277509"	-188.453567309662	-32.3162136503653	"GSE10950"	"Normal"
"GSM277510"	-182.607329259993	-30.5815016805166	"GSE10950"	"Tumor"
"GSM277511"	-150.995737258021	-30.4898762272059	"GSE10950"	"Normal"
"GSM277512"	-181.574313950339	-29.7900053609222	"GSE10950"	"Tumor"
"GSM277513"	-175.81606972447	-29.6855918888215	"GSE10950"	"Normal"
"GSM277514"	-169.203395475938	-24.5763909075403	"GSE10950"	"Tumor"
"GSM277515"	-161.601554542103	-25.8569063749627	"GSE10950"	"Normal"
"GSM277516"	-175.886426018624	-22.9643118041742	"GSE10950"	"Tumor"
"GSM277517"	-161.184190441716	-27.7088230216533	"GSE10950"	"Normal"
"GSM277518"	-184.387259447352	-32.5806752793862	"GSE10950"	"Tumor"
"GSM277519"	-177.064643678755	-27.5723219201732	"GSE10950"	"Normal"
"GSM277520"	-186.220400722474	-22.0036551774413	"GSE10950"	"Tumor"
"GSM277521"	-169.847963405738	-28.4029368449881	"GSE10950"	"Normal"
"GSM277522"	-225.28292131797	-29.0206716001399	"GSE10950"	"Tumor"
"GSM277523"	-205.623191746444	-33.1042775225385	"GSE10950"	"Normal"
"GSM277524"	-220.179837026977	-26.9858640300285	"GSE10950"	"Tumor"
"GSM277525"	-191.16727928432	-29.8802728766931	"GSE10950"	"Normal"
"GSM277526"	-188.600539419281	-23.6858732209708	"GSE10950"	"Tumor"
