"","group","CDC25B","CDK4","MMP1","MMP7","PLAU","SLC7A5","TEAD4","TRIB3"
"GSM2843099","Tumor",6.816530192,10.2560976,8.18653673,10.09665677,9.606067917,9.35131297,8.274980779,9.118613407
"GSM2843100","Normal",6.528318828,9.396532562,6.572931069,6.590801267,7.690112084,7.98900312,7.075205141,6.92122672
"GSM2843101","Tumor",6.521079455,10.18493692,11.20545714,8.705782759,11.40646834,8.485990972,8.648596132,8.159704666
"GSM2843102","Normal",6.590928339,9.244715666,6.607343349,6.697336783,7.736894765,8.073750148,7.67260139,6.956817411
"GSM2843103","Normal",6.929006031,9.158820951,6.838556452,6.40529222,7.987778999,7.131555111,6.639475755,6.870189813
"GSM2843104","Tumor",6.613008206,10.15170204,7.985347098,10.39849748,7.860989327,9.960709155,9.387963305,9.386395724
"GSM2843105","Normal",6.528819712,9.326240101,7.062771803,6.609767585,7.895330592,9.416415782,7.609095705,6.999912811
"GSM2843106","Tumor",6.559448112,10.540992,7.095023089,10.68908728,9.484939708,10.18051605,8.7135958,10.12175955
"GSM2843107","Normal",6.61603129,9.492584958,6.731019771,6.391447055,8.105776486,9.150294648,7.155576959,6.84800582
"GSM2843108","Normal",6.784122308,9.715521628,6.504691886,6.542011566,7.980658967,7.788542177,7.148916804,7.048075962
"GSM2843109","Normal",6.673803953,9.189516557,8.72901904,8.949780854,8.601064083,7.128569097,6.735437601,6.737150729
"GSM2843110","Tumor",6.872662895,10.51376272,8.709408781,10.10459995,9.999297237,9.647478251,8.551839832,8.415167438
"GSM2843111","Normal",6.574162179,9.687637591,6.639664377,6.446877312,8.144919023,7.462087818,6.877405647,6.929801472
"GSM2843112","Normal",6.410870055,8.968996743,6.735564569,6.439298327,7.860709564,7.337613602,6.483715449,6.870487233
"GSM2843113","Tumor",6.651048701,10.62076954,11.0716227,9.366107048,10.80730311,9.330132888,8.498382653,8.821805678
"GSM2843114","Normal",6.580823163,9.554475509,6.783711276,6.42017101,8.402915739,7.425728712,7.097585031,7.23421736
"GSM2843115","Normal",6.551004598,9.654436831,7.612819479,6.509566784,8.054173676,8.411097507,7.590529166,7.186786418
"GSM2843116","Normal",6.662506202,9.300803427,6.802822825,6.681713119,7.585636298,7.036045774,6.759079881,6.951378926
"GSM2843117","Tumor",6.627869404,10.64895425,8.822645425,10.90473218,9.981347304,9.839101998,9.299347613,8.886045893
"GSM2843118","Normal",6.644091991,9.860282628,6.773172916,6.660850226,7.885086624,7.149883215,7.27557483,6.963546072
"GSM2843119","Tumor",6.690780262,10.26685019,9.758522113,7.984167627,8.683039107,11.06138814,9.100313067,9.965585995
"GSM2843120","Normal",6.544823399,9.536667024,6.532621284,6.444015907,7.174867121,7.800554884,6.880453388,6.743198245
"GSM2843121","Tumor",6.804638873,9.90441261,7.721579927,7.542359299,8.632594887,9.61814849,8.120182673,8.388577461
"GSM2843122","Normal",6.757490842,9.653594172,7.057789281,6.471527488,8.259678461,8.317723071,7.796156327,7.492338507
"GSM2843123","Tumor",6.671743446,10.57369668,10.55648671,13.7066013,11.05918961,8.397962175,8.295478738,8.078586901
"GSM2843124","Tumor",6.520915372,10.76840349,10.5054748,9.217140514,8.92293446,10.25249466,9.421114967,10.45473473
"GSM2843125","Normal",6.547156422,9.502710656,6.823382327,6.438651693,8.463659513,7.560851318,7.232273532,7.326236212
"GSM2843126","Normal",6.59197831,9.493797329,6.73236735,6.656779656,7.475934952,8.396248407,7.722856914,7.474687895
"GSM2843127","Tumor",6.483546561,9.809609639,6.914641707,9.259722712,8.835835123,8.741451542,8.181526759,9.858324116
"GSM2843128","Normal",6.816471157,9.673582991,7.392434176,6.796491081,7.632364797,7.766182547,7.115412129,7.152275245
