"","group","CDC25B","CDK4","MMP1","MMP7","PLAU","SLC7A5","TEAD4","TRIB3"
"GSM543123","Tumor",1419.036,2634.974,9354.237,897.5181,4905.9272,136.51918,468.42322,10581.769
"GSM543124","Tumor",317.4047,4183.3726,34.04309,64.72046,1626.9535,62.25216,938.177,11938.871
"GSM543125","Tumor",891.5606,3180.5264,924.22626,894.6707,995.507,43.71896,507.83447,3197.272
"GSM543126","Tumor",190.91196,792.4911,221.26498,212.65723,361.18674,20.691425,122.75846,2496.926
"GSM543127","Tumor",889.1064,3526.1575,389.23508,1590.915,697.1521,46.377132,397.58972,3969.492
"GSM543128","Tumor",2235.8962,5305.7275,9305.841,17132.582,10712.607,105.9399,1067.5776,11751.167
"GSM543129","Tumor",3689.4712,4494.356,8018.789,545.07574,2981.961,114.9881,1786.0834,18669.904
"GSM543130","Tumor",1423.6031,1764.1466,96.44348,10196.277,978.2104,145.77583,423.08505,15608.901
"GSM543131","Tumor",4077.7778,2694.7007,14458.676,39607.53,3923.0354,138.14702,598.9234,9937.672
"GSM543132","Tumor",2458.1694,3832.6743,5407.3115,94.901146,3391.6482,66.88101,871.75525,7878.632
"GSM543133","Tumor",1269.9713,2347.1765,191.02664,244.33502,1074.2512,60.846245,337.80176,5037.168
"GSM543134","Tumor",1107.8291,1374.5873,216.53519,1.819365,1015.8301,38.208424,185.2008,3525.978
"GSM543135","Tumor",1466.6041,4343.8047,253.52318,271.44275,2027.0348,134.48247,1368.0822,7926.1104
"GSM543136","Tumor",1216.7623,3475.4067,595.4389,320.41147,1344.5388,52.060627,648.74036,8603.639
"GSM543137","Tumor",522.5467,3339.4785,378.51285,17176.479,833.19745,36.314114,446.55478,2875.3293
"GSM543138","Tumor",2218.0015,3336.6343,6088.414,25999.922,2916.3223,78.75558,719.03766,3637.0046
"GSM543139","Tumor",2856.808,6122.0684,1015.64075,4443.9185,2202.3525,209.33304,1449.7849,32806.6
"GSM543140","Tumor",607.522,2552.0688,382.25665,224.99153,976.39307,65.69795,864.13257,4972.855
"GSM543141","Tumor",4717.756,6913.2295,1050.2112,2715.373,2812.0583,168.20372,2863.092,28407.447
"GSM543142","Tumor",1873.2769,3643.9956,1691.8055,99.417435,2267.497,39.546513,584.01025,6739.9897
"GSM543143","Tumor",6482.7007,5196.676,835.3135,21426.814,1811.1843,195.77708,555.58453,14696.203
"GSM543144","Tumor",3324.7122,4468.173,5188.4756,928.8228,3759.9712,179.55527,778.413,17321.629
"GSM543145","Tumor",319.31598,2212.7793,261.38477,96.352806,2207.915,51.71781,336.89838,3744.0605
"GSM543146","Tumor",1239.1278,2360.3442,7273.1826,425.49963,1972.0486,45.568527,623.9798,6478.4297
"GSM543147","Tumor",2216.2324,2789.7,253.45305,288.22964,1513.4081,82.34218,631.6027,17702.795
"GSM543148","Tumor",1661.5991,5170.49,1578.5685,165.85013,3468.1042,133.20982,1453.0845,10733.631
"GSM543149","Tumor",2605.0984,2425.6873,6179.1514,58.835144,1420.779,89.67632,500.6197,5514.361
"GSM543150","Tumor",1117.9554,5463.7837,3941.095,467.01462,2661.9614,124.349815,882.5947,4901.5967
"GSM543151","Tumor",2804.386,8991.993,10196.965,9840.767,2629.773,153.67789,1282.5942,8357.139
"GSM543152","Tumor",1324.5087,5017.69,608.6314,464.12354,510.4681,31.980324,329.19373,3526.4395
"GSM543153","Tumor",998.7598,5218.3555,4195.228,188.80191,4139.968,116.29204,537.43317,4303.4033
"GSM543154","Tumor",723.5582,3558.5583,1711.6521,8259.469,1981.047,91.16794,562.2158,5481.09
"GSM543155","Tumor",3164.272,6134.493,82572.19,826.91766,4974.6006,60.66229,858.8319,2001.5577
"GSM543156","Tumor",968.04865,2402.618,558.7173,521.50006,1372.4536,18.117958,587.6516,2416.0967
"GSM543157","Tumor",600.4246,8535.136,81.71748,7287.9814,1552.5498,108.04038,1049.4291,10639.051
"GSM543158","Tumor",2675.715,8823.748,2773.86,9311.103,2068.9084,54.205143,662.3848,12163.65
"GSM543159","Tumor",1077.1865,2294.1697,24971.223,127.06382,7744.246,96.08357,75.575226,19571.748
"GSM543160","Tumor",3201.976,2544.6282,43739.145,3680.7893,1836.3746,141.49516,654.49725,22716.691
"GSM543161","Tumor",3978.8152,3906.0242,114.05133,225.08562,1495.1593,69.5084,437.7577,19686.283
"GSM543162","Tumor",5168.2007,5021.695,1347.2755,2077.9766,2519.5696,106.54229,1131.4052,31517.652
"GSM543163","Tumor",832.3552,1847.3837,238.54135,4.47885,397.8805,54.252445,2500.6523,8480.297
