"","node1","node2","score"
"1","ABCE1","FBL",0.625
"2","ABCE1","HSPE1",0.427
"3","ABCE1","WDR12",0.59
"4","ABCE1","CSE1L",0.585
"5","ABCE1","PPAT",0.457
"6","ABCE1","RPL29",0.833
"7","ABCE1","PUS7",0.44
"8","ABCE1","PAICS",0.544
"9","ABCE1","DDX21",0.557
"10","ABCE1","CCT2",0.565
"11","ABCE1","DKC1",0.605
"12","ABCE1","RPS21",0.965
"13","ABCE1","RPS15",0.976
"14","ABCE1","RPS7",0.978
"15","ACTL6A","CCNB1",0.443
"16","ACTL6A","CDK4",0.696
"17","ACTL6A","CHTF18",0.58
"18","ACTL6A","ARID3A",0.427
"19","ACTL6A","SNRPF",0.511
"20","ACTL6A","MAD2L1",0.414
"21","ACTL6A","CCT2",0.519
"22","ACTL6A","MCM7",0.445
"23","ACTL6A","CENPA",0.431
"24","ACTL6A","RFC4",0.514
"25","ACTL6A","TOP2A",0.576
"26","ACTL6A","MYC",0.891
"27","AGT","CXCL6",0.531
"28","AGT","NMU",0.489
"29","AGT","STC1",0.425
"30","AGT","CXCL5",0.589
"31","AGT","MMP3",0.422
"32","AGT","CXCL10",0.71
"33","AGT","MMP1",0.429
"34","AGT","CCL20",0.599
"35","AGT","CXCL9",0.6
"36","AGT","GNG4",0.533
"37","AGT","CXCL2",0.596
"38","AGT","CXCL1",0.653
"39","AGT","NPY",0.784
"40","AHCY","MYC",0.419
"41","AHCY","HSPD1",0.424
"42","AHCY","RPS15",0.43
"43","AHCY","GPT2",0.471
"44","AHCY","CCT2",0.473
"45","AHCY","IMPDH1",0.474
"46","AHCY","PAICS",0.493
"47","AHCY","MTHFD1L",0.505
"48","AHCY","PSAT1",0.508
"49","AHCY","MTHFD2",0.51
"50","AHCY","TYMS",0.551
"51","AHCY","IMPDH2",0.674
"52","AHCY","SHMT2",0.857
"53","AHCY","DNMT1",0.952
"54","ANKRD22","ASB9",0.458
"55","ANLN","TRIP13",0.748
"56","ANLN","AURKA",0.741
"57","ANLN","FBL",0.432
"58","ANLN","RAD51AP1",0.493
"59","ANLN","CCNB1",0.86
"60","ANLN","KIF11",0.947
"61","ANLN","MCM4",0.841
"62","ANLN","MCM2",0.678
"63","ANLN","PRKDC",0.426
"64","ANLN","CDC25A",0.43
"65","ANLN","LRP8",0.436
"66","ANLN","PCLAF",0.446
"67","ANLN","CDCA7",0.454
"68","ANLN","TACC3",0.46
"69","ANLN","DTL",0.469
"70","ANLN","TK1",0.472
"71","ANLN","CKS1B",0.474
"72","ANLN","LMNB2",0.504
"73","ANLN","CDT1",0.527
"74","ANLN","RTKN",0.538
"75","ANLN","RAD54L",0.541
"76","ANLN","UHRF1",0.541
"77","ANLN","ATAD2",0.548
"78","ANLN","RFC4",0.558
"79","ANLN","PTTG1",0.579
"80","ANLN","CKS2",0.63
"81","ANLN","CCNB2",0.633
"82","ANLN","CHEK1",0.633
"83","ANLN","CDKN3",0.641
"84","ANLN","KIF15",0.645
"85","ANLN","CENPA",0.647
"86","ANLN","CDCA3",0.649
"87","ANLN","UBE2T",0.653
"88","ANLN","CDCA5",0.672
"89","ANLN","MAD2L1",0.682
"90","ANLN","MCM7",0.693
"91","ANLN","CDC20",0.701
"92","ANLN","TTK",0.704
"93","ANLN","NUSAP1",0.712
"94","ANLN","TYMS",0.729
"95","ANLN","CCNA2",0.747
"96","ANLN","EXO1",0.754
"97","ANLN","UBE2C",0.773
"98","ANLN","KIF4A",0.782
"99","ANLN","CDCA8",0.789
"100","ANLN","IQGAP3",0.795
"101","ANLN","BUB1B",0.8
"102","ANLN","PBK",0.811
"103","ANLN","KIF2C",0.821
"104","ANLN","MELK",0.831
"105","ANLN","PRC1",0.839
"106","ANLN","CENPF",0.842
"107","ANLN","AURKB",0.846
"108","ANLN","TOP2A",0.861
"109","ANLN","HMMR",0.88
"110","ANLN","ASPM",0.9
"111","ANLN","BUB1",0.917
"112","ANLN","TPX2",0.923
"113","ANLN","CEP55",0.93
"114","ANLN","KIF20A",0.949
"115","ANXA3","S100A11",0.605
"116","ARID3A","TEAD4",0.56
"117","ASB9","CKMT2",0.708
"118","ASCL2","SOX9",0.524
"119","ASCL2","AXIN2",0.631
"120","ASCL2","EPHB3",0.537
"121","ASCL2","RNF43",0.431
"122","ASCL2","MYC",0.434
"123","ASF1B","TRIP13",0.531
"124","ASF1B","AURKA",0.751
"125","ASF1B","RNASEH2A",0.595
"126","ASF1B","RAD51AP1",0.544
"127","ASF1B","CCNB1",0.59
"128","ASF1B","TROAP",0.478
"129","ASF1B","KIF11",0.675
"130","ASF1B","MCM4",0.918
"131","ASF1B","CHTF18",0.415
"132","ASF1B","TYMS",0.418
"133","ASF1B","RFC4",0.422
"134","ASF1B","PRC1",0.448
"135","ASF1B","KIF15",0.449
"136","ASF1B","IQGAP3",0.458
"137","ASF1B","ATAD2",0.477
"138","ASF1B","UBE2T",0.492
"139","ASF1B","DTL",0.495
"140","ASF1B","CDCA7",0.505
"141","ASF1B","MAD2L1",0.511
"142","ASF1B","TTK",0.53
"143","ASF1B","HMMR",0.531
"144","ASF1B","UHRF1",0.549
"145","ASF1B","TACC3",0.552
"146","ASF1B","CHEK1",0.566
"147","ASF1B","MELK",0.574
"148","ASF1B","CCNB2",0.587
"149","ASF1B","TPX2",0.596
"150","ASF1B","ASPM",0.603
"151","ASF1B","CDCA5",0.603
"152","ASF1B","KIF4A",0.616
"153","ASF1B","BUB1",0.62
"154","ASF1B","CEP55",0.628
"155","ASF1B","PTTG1",0.636
"156","ASF1B","CDT1",0.647
"157","ASF1B","TK1",0.648
"158","ASF1B","RAD54L",0.657
"159","ASF1B","BUB1B",0.7
"160","ASF1B","AURKB",0.702
"161","ASF1B","TOP2A",0.709
"162","ASF1B","KIF2C",0.71
"163","ASF1B","EXO1",0.717
"164","ASF1B","CENPF",0.726
"165","ASF1B","UBE2C",0.729
"166","ASF1B","NUSAP1",0.739
"167","ASF1B","PBK",0.743
"168","ASF1B","PCLAF",0.772
"169","ASF1B","CCNA2",0.783
"170","ASF1B","CDC20",0.806
"171","ASF1B","CDCA3",0.809
"172","ASF1B","CDCA8",0.829
"173","ASF1B","CENPA",0.831
"174","ASF1B","MCM3",0.832
"175","ASF1B","KIF20A",0.84
"176","ASF1B","MCM7",0.9
"177","ASF1B","MCM2",0.996
"178","ASPM","TRIP13",0.729
"179","ASPM","AURKA",0.93
"180","ASPM","RAD51AP1",0.673
"181","ASPM","CCNB1",0.952
