#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCE1	FBL	9606.ENSP00000296577	9606.ENSP00000221801	0	0	0	0	0.427	0.292	0	0.149	0.625
ABCE1	HSPE1	9606.ENSP00000296577	9606.ENSP00000233893	0	0	0	0	0.189	0.292	0	0.082	0.427
ABCE1	WDR12	9606.ENSP00000296577	9606.ENSP00000261015	0	0	0	0	0.590	0	0	0	0.590
ABCE1	CSE1L	9606.ENSP00000296577	9606.ENSP00000262982	0	0	0	0	0.585	0	0	0	0.585
ABCE1	PPAT	9606.ENSP00000296577	9606.ENSP00000264220	0	0	0	0	0.377	0	0	0.164	0.457
ABCE1	RPL29	9606.ENSP00000296577	9606.ENSP00000294189	0	0	0	0	0.201	0.800	0	0	0.833
ABCE1	PUS7	9606.ENSP00000296577	9606.ENSP00000417402	0	0	0	0	0.411	0	0	0.088	0.440
ABCE1	PAICS	9606.ENSP00000296577	9606.ENSP00000382595	0	0	0	0	0.486	0	0	0.149	0.544
ABCE1	DDX21	9606.ENSP00000296577	9606.ENSP00000346120	0	0	0	0	0.523	0.073	0	0.080	0.557
ABCE1	CCT2	9606.ENSP00000296577	9606.ENSP00000299300	0	0	0	0	0.523	0	0	0.126	0.565
ABCE1	DKC1	9606.ENSP00000296577	9606.ENSP00000358563	0	0	0	0	0.363	0.292	0	0.194	0.605
ABCE1	RPS21	9606.ENSP00000296577	9606.ENSP00000345957	0	0	0	0	0.159	0.959	0	0.059	0.965
ABCE1	RPS15	9606.ENSP00000296577	9606.ENSP00000466010	0	0	0	0	0.187	0.967	0	0.182	0.976
ABCE1	RPS7	9606.ENSP00000296577	9606.ENSP00000495273	0	0	0	0	0.317	0.960	0	0.256	0.978
ACTL6A	CCNB1	9606.ENSP00000397552	9606.ENSP00000256442	0	0	0	0	0.340	0.095	0	0.142	0.443
ACTL6A	CDK4	9606.ENSP00000397552	9606.ENSP00000257904	0	0	0	0	0.292	0.068	0.500	0.187	0.696
ACTL6A	CHTF18	9606.ENSP00000397552	9606.ENSP00000262315	0	0	0	0	0.056	0	0	0.574	0.580
ACTL6A	ARID3A	9606.ENSP00000397552	9606.ENSP00000263620	0	0	0	0	0.067	0.306	0	0.186	0.427
ACTL6A	SNRPF	9606.ENSP00000397552	9606.ENSP00000266735	0	0	0	0	0.463	0.094	0	0.076	0.511
ACTL6A	MAD2L1	9606.ENSP00000397552	9606.ENSP00000296509	0	0	0	0	0.353	0.073	0	0.101	0.414
ACTL6A	CCT2	9606.ENSP00000397552	9606.ENSP00000299300	0	0	0	0	0.239	0.362	0	0.089	0.519
ACTL6A	MCM7	9606.ENSP00000397552	9606.ENSP00000307288	0	0	0	0	0.302	0	0	0.238	0.445
ACTL6A	CENPA	9606.ENSP00000397552	9606.ENSP00000336868	0	0	0	0	0.111	0.282	0	0.179	0.431
ACTL6A	RFC4	9606.ENSP00000397552	9606.ENSP00000376272	0	0	0	0	0.471	0.058	0	0.102	0.514
ACTL6A	TOP2A	9606.ENSP00000397552	9606.ENSP00000411532	0	0	0	0	0.190	0.071	0	0.482	0.576
ACTL6A	MYC	9606.ENSP00000397552	9606.ENSP00000478887	0	0	0	0	0.072	0.783	0	0.504	0.891
AGT	CXCL6	9606.ENSP00000355627	9606.ENSP00000226317	0	0	0	0	0	0	0.500	0.101	0.531
AGT	NMU	9606.ENSP00000355627	9606.ENSP00000264218	0	0	0	0	0.086	0	0.400	0.144	0.489
AGT	STC1	9606.ENSP00000355627	9606.ENSP00000290271	0	0	0	0	0	0	0	0.425	0.425
AGT	CXCL5	9606.ENSP00000355627	9606.ENSP00000296027	0	0	0	0	0	0	0.500	0.213	0.589
AGT	MMP3	9606.ENSP00000355627	9606.ENSP00000299855	0	0	0	0	0.088	0	0	0.392	0.422
AGT	CXCL10	9606.ENSP00000355627	9606.ENSP00000305651	0	0	0	0	0.055	0	0.500	0.437	0.710
AGT	MMP1	9606.ENSP00000355627	9606.ENSP00000322788	0	0	0	0	0.099	0	0	0.393	0.429
AGT	CCL20	9606.ENSP00000355627	9606.ENSP00000351671	0	0	0	0	0.084	0.051	0.500	0.187	0.599
AGT	CXCL9	9606.ENSP00000355627	9606.ENSP00000354901	0	0	0	0	0.055	0	0.500	0.223	0.600
AGT	GNG4	9606.ENSP00000355627	9606.ENSP00000398629	0	0	0	0	0.105	0	0.500	0	0.533
AGT	CXCL2	9606.ENSP00000355627	9606.ENSP00000427279	0	0	0	0	0.042	0	0.500	0.225	0.596
AGT	CXCL1	9606.ENSP00000355627	9606.ENSP00000379110	0	0	0	0	0	0	0.500	0.334	0.653
AGT	NPY	9606.ENSP00000355627	9606.ENSP00000384364	0	0	0	0	0.072	0	0.500	0.573	0.784
AHCY	MYC	9606.ENSP00000217426	9606.ENSP00000478887	0	0	0	0	0.153	0.124	0	0.280	0.419
