"name","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","cnt_score.x","regulated","cnt_score.y","essentialNode"
"ABCE1",2.94196428571429,0.00275854425504738,0.339908952959029,0.395604395604396,14,5,FALSE,15.8571428571429,0,14,0,0.977153361344538,FALSE,0,"ABCE1",1280,0.229813664596273,87.6,"up",87.6,"No"
"ACTL6A",2.40625,0.00731352278787313,0.415584415584416,0.515151515151515,12,5,FALSE,50.0833333333333,0,12,0,0.983455882352941,FALSE,0,"ACTL6A",3284,0.373134328358209,102.033333333333,"up",102.033333333333,"Yes"
"AGT",3.02232142857143,0.0105507920323158,0.330871491875923,0.5,13,6,FALSE,12.5384615384615,0,13,0,0.976207983193277,FALSE,0,"AGT",4304,0.319526627218935,83.2833333333333,"up",83.2833333333333,"No"
"AHCY",2.38839285714286,0.00474215535268281,0.418691588785047,0.428571428571429,14,5,FALSE,24.7142857142857,0,14,0,0.983665966386555,FALSE,0,"AHCY",2502,0.181197478991597,103.366666666667,"up",103.366666666667,"Yes"
"ANKRD22",5.53125,0,0.180790960451977,0,1,8,FALSE,2,0,1,0,0.946691176470588,FALSE,0,"ANKRD22",0,0,42.4238095238095,"up",42.4238095238095,"No"
"ANLN",2.27678571428571,0.017308826701282,0.43921568627451,0.812994350282486,60,5,FALSE,57.7666666666667,0,60,0,0.984978991596639,FALSE,0,"ANLN",12154,0.434210526315789,124.433333333333,"up",124.433333333333,"Yes"
"ARID3A",3.33482142857143,3.00237005364394e-05,0.299866131191432,0,2,6,FALSE,9,0,2,0,0.972531512605042,FALSE,0,"ARID3A",12,0.533333333333333,71.05,"up",71.05,"No"
"ASB9",4.53571428571429,0.00892857142857143,0.220472440944882,0,2,7,FALSE,1.5,0,2,0,0.958403361344538,FALSE,0,"ASB9",2234,0.5,52.5547619047619,"up",52.5547619047619,"No"
"ASCL2",2.6875,0.00229817247423611,0.372093023255814,0.7,5,6,FALSE,22.8,0,5,0,0.980147058823529,FALSE,0,"ASCL2",2816,0.247826086956522,90.3666666666667,"up",90.3666666666667,"No"
"ASF1B",2.35714285714286,0.000442556725021457,0.424242424242424,0.903703703703704,55,5,FALSE,60.4545454545455,0,55,0,0.984033613445378,FALSE,0,"ASF1B",750,0.499624342599549,119.766666666667,"up",119.766666666667,"Yes"
"ASPM",2.10714285714286,0.00254637844996918,0.474576271186441,0.879957694341618,62,5,FALSE,60.3225806451613,0,62,0,0.986974789915966,FALSE,0,"ASPM",5112,0.407585004359198,129.533333333333,"up",129.533333333333,"Yes"
"ATAD2",2.17410714285714,0.00305588235420145,0.459958932238193,0.925714285714286,50,5,FALSE,62.2,0,50,0,0.986186974789916,FALSE,0,"ATAD2",3730,0.428965517241379,123.033333333333,"up",123.033333333333,"Yes"
"AURKA",2.05803571428571,0.0196361419398543,0.48590021691974,0.723395445134576,70,5,FALSE,54.9,0,70,0,0.987552521008403,FALSE,0,"AURKA",9840,0.365904761904762,134.033333333333,"up",134.033333333333,"Yes"
"AURKB",2.02678571428571,0.00997391534888696,0.493392070484581,0.692161339421613,73,5,FALSE,54.2328767123288,0,73,0,0.987920168067227,FALSE,0,"AURKB",9366,0.349889527176315,136.2,"up",136.2,"Yes"
