"","group","CDC25B","CDK4","MMP1","MMP7","PLAU","SLC7A5","TEAD4","TRIB3"
"GSM1014799","Normal",9.25563096564721,8.44417499306399,4.78660866051023,5.77987422538453,6.95488739054074,7.37974799130012,7.55854577865165,7.45399539684483
"GSM1014801","Normal",8.74187999575755,9.19981022811346,7.25002822835388,5.50410890019694,7.77118971077835,8.21211400022486,7.18326018378351,7.08357797167565
"GSM1014802","Normal",8.48431770735512,8.49948012706927,6.63053299039903,5.43368120441679,7.64732908644352,6.7657066097301,6.48852052597757,7.45877985638201
"GSM1014805","Tumor",11.1059703027525,10.0912238173962,8.0273465626256,8.00501194406698,9.5340131054355,9.38909970011152,8.78927848938495,8.97270776809131
"GSM1014808","Normal",8.09032789442773,8.25478139516967,5.71649342830812,5.67153824164975,7.62421124494334,6.84298628852315,6.50521304428629,7.71567265738294
"GSM1014810","Normal",8.63467250606679,8.98006367003331,6.17458627445071,5.62122785271175,7.63266956735202,7.38988954185902,6.69955673483497,7.32572768854827
"GSM1014811","Normal",8.7431637461062,9.01613101867999,7.25783409096512,5.79146056984306,7.95692199452124,7.91356817129315,7.1271534151182,6.83635746137033
"GSM1014813","Tumor",9.87491595734862,10.0433602275523,10.793639889341,8.53301964137809,9.99695766276163,9.17462773762955,8.23341717388927,7.76925482108227
"GSM1014814","Tumor",9.93126534242322,10.2186581012453,9.94469292245244,6.78665815952277,9.94177718680242,9.88964881315584,8.61853717131151,7.34934146665574
"GSM1014816","Tumor",11.4375080204527,10.3878806613402,11.165480124196,12.0372194126117,10.6137191761541,10.2445563865515,9.29164053386927,9.01406170276277
"GSM1014817","Tumor",10.1242378925521,10.2591363575504,8.22729653172608,10.497221047831,7.87670555732905,10.2038910868659,8.04277842911618,8.70627258510257
"GSM1923670","Tumor",10.3988574821675,9.37447185424578,9.21580752411394,7.71526618994092,10.1972365985654,8.66894116583313,7.72313989513403,7.96005814098734
"GSM1923671","Normal",8.72057348443017,8.76712258896111,5.85579996050457,6.1713581369886,8.65746730250501,7.86891173040605,6.84111859883783,6.91203378800646
"GSM1923672","Tumor",12.1620760492353,11.1034051802128,9.86777278931177,10.6679023253901,10.1484182119442,10.0934070215632,8.81961874069375,9.97293950239596
"GSM1923674","Tumor",9.26417975764031,10.0970355352166,10.186754104604,12.254157372625,9.48049286586926,9.80335209111492,8.2288792157743,8.669459480472
"GSM1923675","Normal",8.44001369090222,8.1713508314706,5.54010380794249,5.44215223253247,7.49749302192717,7.03481508330119,6.61109217802744,6.04963214073259
"GSM1923676","Tumor",11.4114475485871,11.1668264394325,10.9350653716731,6.60693433381242,10.5042045176398,10.9914007294393,8.68235819673204,9.82642256192676
"GSM1923677","Normal",8.73098515310939,8.50042069546237,5.83665731947785,5.29558053326808,7.35987176888776,7.65307164574421,6.88954585589549,6.49004961451783
"GSM1923679","Normal",8.58121838172057,8.45160654591912,6.54627491472196,5.69337612710408,6.60796553790449,7.74469176551188,6.50421032306377,6.76814231998039
"GSM1923680","Tumor",10.2096307026805,10.0363259282313,10.5367596194015,9.42865416900736,10.2519510427645,9.35128484168371,8.20843547015982,9.21394429848218
"GSM1923681","Normal",8.93138760021896,8.74515668490533,7.24152837870277,5.26581057499057,8.38188043048105,7.6179829659956,7.07574356165284,6.67681048489999
"GSM1923682","Tumor",10.2302920720267,10.0820362394403,7.61661596605084,8.31768876423661,8.64796916595928,9.67810676410826,8.50229765451753,9.59772991434221
"GSM1923683","Normal",8.35979582018908,8.71792966443348,5.59706165653048,5.29999125838506,7.75310816415679,7.78302864603199,6.71668634064535,7.20368645703317
"GSM1923686","Tumor",9.77999537158602,10.4314958279777,8.83671033024831,10.400720364124,8.332859423153,10.239224910863,8.81052112678091,9.07714275596476
"GSM1923688","Tumor",10.2735892932954,10.700953611887,9.44941827194848,10.5505863214176,8.63238258513971,9.61603207162941,8.55854671915548,9.04671968358307
"GSM1923690","Tumor",10.6023778896523,10.179935733496,10.8133501548631,7.55393508012164,9.38548378182513,7.82558763853368,8.80783998913274,9.97361252773278
"GSM1923692","Tumor",11.1840387147931,10.5852539456318,8.26412534152911,9.10423883899574,8.85292448754943,9.97888447258403,9.21274508505502,9.4407342350026
"GSM1923695","Normal",8.35384557678623,8.08451593542047,8.03795113905341,5.2792864264938,7.64436581461519,7.15861751289015,6.26604161621188,6.30671665973812
"GSM1923696","Tumor",10.2437468472711,9.86907047478299,10.9778992696785,7.29987087779837,9.60282994959105,8.76903623507018,7.78725502806481,9.30091626789912
"GSM1923697","Normal",8.03087913100656,8.23335511918635,6.77078495433298,5.19480500649271,7.59459318892499,6.79771482823106,6.53716325784301,6.19924085379609
"GSM1923699","Normal",8.82000058810597,8.53264115183651,5.94537893262353,5.29705233878408,7.63179523103138,7.17419773677279,6.48586611142004,6.2141253352023
"GSM1923700","Tumor",8.88959767341844,8.42818142276571,11.1359392723748,8.54085666792058,9.69838327254961,7.17626103377359,7.77236198611577,6.71419755639338
"GSM1923701","Normal",7.56195648206101,7.51855036150012,5.59706165653048,5.10482428691387,6.61029147186332,6.54815121131919,6.03091979653856,5.76593267472825
"GSM1923702","Tumor",10.9375237761449,10.7691963223556,8.92387838667915,10.1130371557547,8.51908674695895,10.177649381371,8.68773753891052,9.84582459916492
"GSM1923703","Normal",8.63937006050063,8.21479285208884,6.34215197575127,5.99661885208641,7.11487589147327,7.67290513935818,6.65493583202586,6.83507299896059
"GSM1923704","Tumor",10.6902006778895,10.3680213291829,6.9632507002247,12.0343049500453,8.80969309171119,10.3707795553475,8.84971447093046,10.2200534869726
"GSM1923707","Normal",6.64092060103272,8.742719054762,5.56692140230295,5.1316098441089,7.0732788456631,8.20137209948567,6.76634115840406,6.41467475045279
"GSM1923709","Normal",9.29720145038499,8.92574913701942,5.36792857548533,5.46969034911165,8.57893249955918,7.9184204730225,7.12306060320026,6.93692749665054
"GSM1923710","Tumor",10.4199358955895,11.043473890069,10.4647465812707,10.9512028455346,9.96318000601988,10.8475002678176,9.05978453578351,9.99138368922411
"GSM1923711","Normal",9.26870053390999,9.01667612220273,6.66151540775364,5.8887447441606,7.47464610089402,7.78496443010036,6.91280480868291,6.80371638608622
"GSM1923714","Tumor",10.864220593298,10.2546088800393,8.20349464217929,9.96181465720298,8.74332402127105,9.42482571491651,8.74030470560971,8.92467618747881
"GSM1923715","Normal",9.21590624740498,9.06716219844189,5.53003297736945,5.40319863825272,8.09387324745256,7.56903662753563,6.64547450532936,6.72143385383317
"GSM1923716","Tumor",10.6796666755722,10.713067027006,9.28854828720608,6.99356124625647,9.35045134321112,10.0773144339422,8.99290965062436,9.14939959853655
