"PC-1"	"PC-2"	"Batch"	"Group"
"GSM277495"	-33.6707353703099	-3.00373738009243	"GSE10950"	"Normal"
"GSM277496"	19.5665192161773	-12.3799053882521	"GSE10950"	"Tumor"
"GSM277498"	39.197173707106	13.0662506166089	"GSE10950"	"Tumor"
"GSM277499"	-42.9276044168888	-33.0429857794982	"GSE10950"	"Normal"
"GSM277501"	-18.5161343566339	-7.06077622775104	"GSE10950"	"Normal"
"GSM277502"	-11.9841723553489	-84.9290412723147	"GSE10950"	"Tumor"
"GSM277503"	-23.4865242271244	-17.1625980101562	"GSE10950"	"Normal"
"GSM277504"	32.4542160905154	3.13019874263124	"GSE10950"	"Tumor"
"GSM277505"	-39.7574701207445	8.61226673268761	"GSE10950"	"Normal"
"GSM277508"	30.9908059573808	-13.4083991507076	"GSE10950"	"Tumor"
"GSM277509"	-28.5527908852382	24.7585912569163	"GSE10950"	"Normal"
"GSM277511"	-30.3150408206754	-26.0312222535597	"GSE10950"	"Normal"
"GSM277512"	44.2977496693528	-3.53041137096595	"GSE10950"	"Tumor"
"GSM277514"	20.9239948975076	-16.7831183871983	"GSE10950"	"Tumor"
"GSM277516"	30.7658057752485	-8.96808509613731	"GSE10950"	"Tumor"
"GSM277518"	29.1972654266662	0.354219848390102	"GSE10950"	"Tumor"
"GSM277519"	-38.1862426740246	14.6713421311845	"GSE10950"	"Normal"
"GSM277521"	-33.9431934801503	11.7095529975134	"GSE10950"	"Normal"
"GSM277523"	-27.1790095818438	33.8921431812756	"GSE10950"	"Normal"
"GSM277524"	59.9841355433173	27.5379266220943	"GSE10950"	"Tumor"
"GSM277525"	-15.2386211843141	6.22264658296026	"GSE10950"	"Normal"
"GSM277526"	36.4369195088373	4.9357669357461	"GSE10950"	"Tumor"
"GSM277527"	-27.9719063081958	33.4714259460253	"GSE10950"	"Normal"
"GSM277528"	36.4871337418251	-6.37877661025357	"GSE10950"	"Tumor"
"GSM277529"	-34.7017021820249	21.840319048249	"GSE10950"	"Normal"
"GSM277530"	40.6422240086731	14.869418255474	"GSE10950"	"Tumor"
