"PC-1"	"PC-2"	"Batch"	"Group"
"GSM277495"	-143.01238458776	-18.1216631184702	"GSE10950"	"Normal"
"GSM277496"	-152.948164770885	-15.9646410199554	"GSE10950"	"Tumor"
"GSM277498"	-177.374353689014	-13.8042570074686	"GSE10950"	"Tumor"
"GSM277499"	-117.021650876318	-19.4739468244683	"GSE10950"	"Normal"
"GSM277501"	-159.755085860396	-25.8293870531415	"GSE10950"	"Normal"
"GSM277502"	-88.0342171215041	-5.17177062942552	"GSE10950"	"Tumor"
"GSM277503"	-153.240946970543	-24.687251023982	"GSE10950"	"Normal"
"GSM277504"	-177.642059205633	-19.5865729427461	"GSE10950"	"Tumor"
"GSM277505"	-158.405969945778	-25.9065888614519	"GSE10950"	"Normal"
"GSM277508"	-156.490877123213	-18.3143691974238	"GSE10950"	"Tumor"
"GSM277509"	-173.299023829251	-29.179446447127	"GSE10950"	"Normal"
"GSM277511"	-135.576418571939	-28.1463882397827	"GSE10950"	"Normal"
"GSM277512"	-166.164837323742	-25.108707146608	"GSE10950"	"Tumor"
"GSM277514"	-153.659956275494	-20.9425346106316	"GSE10950"	"Tumor"
"GSM277516"	-160.425453745274	-18.7110911156376	"GSE10950"	"Tumor"
"GSM277518"	-169.021773841297	-27.8111210361943	"GSE10950"	"Tumor"
"GSM277519"	-161.871913819445	-24.9284025200363	"GSE10950"	"Normal"
"GSM277521"	-154.702699369585	-24.6642875200599	"GSE10950"	"Normal"
"GSM277523"	-190.425166936379	-29.872596479755	"GSE10950"	"Normal"
"GSM277524"	-204.694971359899	-21.2611085019881	"GSE10950"	"Tumor"
"GSM277525"	-175.68674621478	-26.7644815751936	"GSE10950"	"Normal"
"GSM277526"	-173.146816697542	-18.782494616319	"GSE10950"	"Tumor"
"GSM277527"	-187.451414844636	-27.0347033007929	"GSE10950"	"Normal"
"GSM277528"	-163.622488739168	-17.5471616254396	"GSE10950"	"Tumor"
"GSM277529"	-172.952875412069	-26.8264449917657	"GSE10950"	"Normal"
"GSM277530"	-181.956043137621	-13.7102566588146	"GSE10950"	"Tumor"
"GSM277532"	-173.386041461571	-20.5757284937699	"GSE10950"	"Tumor"
"GSM277533"	-190.738474887053	-27.0402827626233	"GSE10950"	"Normal"
"GSM277534"	-197.068759735226	-20.68987784743	"GSE10950"	"Tumor"
"GSM277535"	-182.717992883851	-28.4371663245807	"GSE10950"	"Normal"
"GSM277536"	-205.200846766614	-21.5705193396248	"GSE10950"	"Tumor"
"GSM277537"	-164.845711071187	-29.7303413189434	"GSE10950"	"Normal"
"GSM277539"	-45.6329315885648	-17.1638724094111	"GSE10950"	"Normal"
"GSM277541"	-172.729917419685	-29.1493051928179	"GSE10950"	"Tumor"
"GSM277542"	-148.19760279831	-24.5692628702437	"GSE10950"	"Normal"
