"name","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","cnt_score","essentialNode"
"ACTL6A",2.4206008583691,0.00674582190893407,0.413120567375887,0.515151515151515,12,5,FALSE,50.5,0,12,0,0.983856808427624,FALSE,0,"ACTL6A",3076,0.362709832134293,105.683333333333,"Yes"
"AHCY",2.3862660944206,0.00389860819149049,0.419064748201439,0.45,16,5,FALSE,26.5625,0,16,0,0.984246976199766,FALSE,0,"AHCY",2494,0.184461805555556,108.316666666667,"Yes"
"ANKRD22",5.47639484978541,0,0.182601880877743,0,1,9,FALSE,2,0,1,0,0.949131876706984,FALSE,0,"ANKRD22",0,0,44.543253968254,"No"
"ANLN",2.28326180257511,0.0171374359899236,0.43796992481203,0.811221507890123,59,6,FALSE,57.2881355932203,0,59,0,0.985417479516192,FALSE,0,"ANLN",12930,0.4090799031477,128.066666666667,"Yes"
"ARID3A",3.3519313304721,2.56777080811416e-05,0.298335467349552,0,2,6,FALSE,9,0,2,0,0.973273507608272,FALSE,0,"ARID3A",8,0.533333333333333,73.5333333333333,"No"
"ASB9",4.48068669527897,0.00858369098712446,0.223180076628352,0,2,8,FALSE,1.5,0,2,0,0.960446742099103,FALSE,0,"ASB9",2710,0.5,55.3059523809524,"No"
"ASCL2",2.68240343347639,0.00383193209322332,0.3728,0.6,6,6,FALSE,20.8333333333333,0,6,0,0.980881779165041,FALSE,0,"ASCL2",5508,0.212585034013605,94.6833333333333,"No"
"ASF1B",2.37768240343348,0.00044416513786551,0.42057761732852,0.900768693221523,54,6,FALSE,59.8888888888889,0,54,0,0.984344518142801,FALSE,0,"ASF1B",876,0.475308641975309,122.9,"Yes"
"ASNS",2.30472103004292,0.0124763395978436,0.43389199255121,0.43859649122807,19,5,FALSE,21.8421052631579,0,19,0,0.985173624658603,FALSE,0,"ASNS",5414,0.140916808149406,112.033333333333,"Yes"
"ASPM",2.13304721030043,0.00232453984640522,0.468812877263582,0.879234972677596,61,5,FALSE,59.8524590163934,0,61,0,0.987124463519313,FALSE,0,"ASPM",5376,0.386144896879958,132.9,"Yes"
"ATAD2",2.20171673819742,0.00261502049584202,0.454191033138402,0.925170068027211,49,5,FALSE,61.734693877551,0,49,0,0.986344127975029,FALSE,0,"ATAD2",3682,0.408839032301662,126.233333333333,"Yes"
"AURKA",2.09012875536481,0.0163833530459172,0.478439425051335,0.707246376811594,70,5,FALSE,53.9142857142857,0,70,0,0.987612173234491,FALSE,0,"AURKA",10368,0.347741935483871,137.566666666667,"Yes"
"AURKB",2.04291845493562,0.011476129928337,0.489495798319328,0.671993911719939,73,5,FALSE,53.5479452054795,0,73,0,0.988148653921186,FALSE,0,"AURKB",11640,0.326511861009021,140.4,"Yes"
"AXIN2",2.60085836909871,0.0248616337271874,0.384488448844884,0.257575757575758,12,6,FALSE,13.25,0,12,0,0.981808427623878,FALSE,0,"AXIN2",18982,0.124213836477987,99.5166666666667,"Yes"
"AZGP1",2.87982832618026,0.0197290867893973,0.347242921013413,0.0666666666666667,6,6,FALSE,13.6666666666667,0,6,0,0.978638314475224,FALSE,0,"AZGP1",4966,0.178082191780822,89.15,"No"
"BMP7",3.42918454935622,0.000299260092168303,0.291614518147685,0.666666666666667,4,7,FALSE,10.75,0,4,0,0.972395630120952,FALSE,0,"BMP7",118,0.398148148148148,74.0595238095238,"No"
"BOP1",2.52360515021459,0.00552252613241456,0.396258503401361,0.607843137254902,18,5,FALSE,20.6111111111111,0,18,0,0.982686305111198,FALSE,0,"BOP1",3300,0.177681992337165,104.183333333333,"Yes"
"BUB1",2.09871244635193,0.00504555399631501,0.476482617586912,0.758121158911326,68,5,FALSE,55.9117647058824,0,68,0,0.987514631291455,FALSE,0,"BUB1",8134,0.35840874811463,136.566666666667,"Yes"
"BUB1B",2.09442060085837,0.00641262587641663,0.477459016393443,0.75548726953468,68,5,FALSE,55.7058823529412,0,68,0,0.987563402262973,FALSE,0,"BUB1B",8632,0.35481453727988,136.733333333333,"Yes"
"C4BPB",3.85836909871245,0.00152330851311373,0.259176863181313,0,2,7,FALSE,4.5,0,2,0,0.967518532969177,FALSE,0,"C4BPB",536,0.583333333333333,64.4523809523809,"No"
"CA9",2.59227467811159,0.0147125934874662,0.385761589403974,0.214285714285714,8,6,FALSE,19.625,0,8,0,0.981905969566914,FALSE,0,"CA9",6614,0.177752293577982,98.35,"No"
